,name,videoid,page_dir,file_ext,token_len
0,"This is an animation of a smoke puff or small explosion, expanding outwards and then dispersing into the air.",JV24kJi,smoke,gif,25
1,"This is a gray rock sprite with an animation showing the rock shaking slightly, typically indicating that it's about to move or act.",3fe3291bf506e4c66dddd3b6f51b7656_w200,smoke,gif,29
2,This is a frame from a smoke animation sequence where white smoke rises and expands against a black background.,olga-ryzhychenko-31,smoke,gif,22
3,"This is an animation of a smoke effect, showing a plume of smoke rising and expanding as it dissipates.",EEPpNs,smoke,gif,25
4,"This is an animation of a smoke explosion effect. The smoke rapidly expands and dissipates, starting dense before thinning out into the surrounding air.",giphy,smoke,gif,32
5,"This image is a grayscale sprite sheet showing a rolling animation, possibly for a video game.",jeong-h-lee-ezgif-com-resize,smoke,gif,21
6,This is a smoke or steam animation where the particles rise and dissipate gradually.,ezgif.com-video-to-gif+(14),smoke,gif,18
7,This is a flame animation sequence featuring a vertical torch sprite transitioning from fully lit to extinguished.,761391_6bc8c,smoke,gif,21
8,"This is a smoke puff effect, expanding and dissipating. It's grayscale, likely for use in games or animations as a visual effect.",ea9ff4824adba932f227084b09d0ec1e,smoke,gif,32
9,This is a smoke animation sprite sheet showing a puff of smoke expanding and dissipating over time.,3MfZ,smoke,gif,22
10,This sprite sheet animation appears to show a looping sequence of smoke rising or a misty substance dissipating upward.,2296431_9c6f7,smoke,gif,25
11,"The image shows a stylized, cartoon-like explosion sequence depicted in a series of frames for animation.",image_processing20210614-9899-1rfm6to,smoke,gif,23
12,The sprite sheet animation displays a looping sequence of a blue and white energy beam firing from right to left.,Lazer,lazer beam,webp,24
13,"It's a looping animation of a horizontal blue energy beam with a glowing white center, expanding and contracting slightly.",source,lazer beam,gif,25
14,"It's an animation of a vibrant, pulsating purple energy beam with a bright white core, suggesting a powerful laser or magical attack.",1223f768fd2005bb421094e80c6b1da1,lazer beam,gif,30
15,"This is not a sprite sheet animation. It's a static image depicting a bright blue energy beam emitting from a circular source, suggesting a science fiction or fantastical theme.",SpaceWarp-Interactive-Art-IKONIX-low,lazer beam,gif,37
16,"The image shows a single frame of a bright, purple energy beam with glowing particles, likely intended for a 2D game effect.",Purple_Beam_buff,lazer beam,webp,28
17,"This is a single-frame pixel art image of a projectile or magical attack with a bright, glowing effect, not an animation sheet.",dcrjrui-5baabde8-4494-4ae5-8427-c3e5588598a7,lazer beam,gif,30
18,It's an energy beam animation featuring a glowing orb emitting a concentrated blue laser with trailing light effects.,530934b3ec4ba0a8533d319147ed3301,lazer beam,gif,23
19,This image depicts an animated purple energy beam charging and then firing to the right. The visuals include dynamic light effects and particles.,600244a253e0f707519756077a534933,lazer beam,gif,27
20,"It's an animation of a magic or energy projectile being fired. Starts from a gathered point, extends forward into a long beam.",d74kefa-d3488cf5-a9d7-4e9d-9f57-7f9f19c708d8,lazer beam,gif,29
21,The image appears to be a single frame from an animation of a glowing energy beam or projectile.,dbzw1sw-6d998e1e-032f-4e9f-b39c-1c1c4a892c7f,lazer beam,gif,22
23,"The sprite sheet shows a looping animation of a stylized flame flickering. The flame has a smooth, flowing motion, simulating a natural fire.",6f081c95e1d4bfea095132e71d68940c,fire,gif,33
24,"This is an animated sprite of a fireball moving from left to right, with trailing flames and a glowing effect.",tenor,fire,gif,24
25,"It's an animated flame with fluid, flickering motion, showcasing various stages of a fire's intensity and movement.",d8litsm-ba1af0d2-6d4c-4396-acdb-4f5ae157417e,fire,gif,25
26,"This appears to be a fire or explosion sprite animation with bright, glowing orange and yellow hues, likely used for a video game effect.",9ed10bd927654351cfb7afd1dd68a2bbb88ffc4a,fire,gif,29
27,"This is a looping animation of a flame with a glow effect, showcasing its flickering and changing shape.",344300ea30a2b20c93607276f03b024b,fire,gif,24
28,"The animation displays a looping flame with a glowing base, simulating a realistic fire motion.",gif_Fireball_Alpha_Right,fire,gif,21
29,"This is an image of a single flame, not a sprite sheet. The flame has a smooth gradient from yellow to red, suggesting a glowing, animated fire.",8c4243960da81dba835adc6bbbcfda27,fire,gif,34
30,"This is an animation of a flame with a smooth, flickering motion, giving the appearance of a gentle fire burning.",dfwxu7s-4134dc21-1fa7-4a83-afc6-990602f33b9e,fire,gif,26
31,It's a pixelated animation of a campfire with fluctuating flames and scattered embers.,6585923a2ae2ad2b36f0fdec921869be (1),fire,gif,20
32,It's a ghostly figure sprite sheet with a hovering and glowing animation sequence.,justine-delagarde-flamme-anim,fire,gif,17
33,This is a pixel art animation of a flickering flame. It contains frames that simulate the changing shape and light intensity of a fire.,camp-smp,fire,gif,30
34,"This appears to be a small, pixelated animation of a flame, with yellow and orange colors depicting flickering or burning.",dcrjk0t-0c09f95a-ebfe-4435-a3cc-4857feb8518d,fire,gif,27
35,It's a pixel art animation of a campfire with a flickering flame and glowing embers.,6585923a2ae2ad2b36f0fdec921869be,fire,gif,21
36,"This sprite sheet depicts a fireball animation, showcasing an expanding and swirling ball of fire with trailing embers and flames.",1956552089burning-fireball-animated-gif-image,fire,gif,26
37,It's a pixel art animation of a campfire with logs and flickering flames.,i-pixelated-the-camp-fire-animation-from-this-link-credit-to-mare_15,fire,gif,18
38,"It appears to be a simple two-frame sprite sheet with illustrations of a flame, intended for a basic looping animation.",image_processing20210904-17525-qs4jbf,fire,gif,27
39,This is a pixel art animation of a campfire with a looping flame and glowing embers.,Fire Animation,fire,gif,21
40,"This is an animation of a single flame, smoothly looping through various stages of flickering and combustion.",gZJ0w-,fire,gif,23
41,It's an animated flame effect showing a fireball moving from left to right with trailing embers and flickering flames.,bfc71d599c4f5f2fd6722bd656b08598,fire,gif,25
42,This is an animation of an explosion. It starts with a bright flash and expands into a fiery burst with smoke and embers.,d9dd657cfef3fb5188596ace989a7dd7_w200,fire,gif,28
43,"This is an animation of a fire with bright yellow-orange flames and rising smoke, set against a black background.",5144904ffac5f2f7195c3975b80618be,fire,gif,25
44,"The sprite sheet depicts a looping animation of a flame, showing flickering and undulating movements typical of fire.",bfc71d599c4f5f2fd6722bd656b08598 (1),fire,gif,26
45,This is a pixel art animation of a flickering campfire with orange and yellow flames over logs.,daniel-tolwinski-ognisko11111111slowertho,fire,gif,21
46,This is a pixel art animation of a fire with flames rising and flickering against a dark background.,sdujh7d8yzea1,fire,gif,22
47,It's an animation of a fiery meteorite traveling to the right with trailing embers and smoke.,michael-ha-fireball,fire,gif,22
48,This is a pixel art animation of a campfire with flickering flames and rising embers.,6ac7576758871443b78d2a557297bee6,fire,gif,20
49,"It's a pixel art animation of a meteor with a fiery tail descending, likely meant for a game effect.",Z5r4Ro,fire,webp,24
50,"This is a pixel art animation of a fire burning. The flames move dynamically, suggesting a looping animation for a game or similar media.",qa1itlgvb9f11,fire,gif,31
